order_id,order_date,user_id,name,city,sate,postal_code,product_id,sales,quantity
1,2020-02-16,144,Claire Gute,Henderson,Kentucky,42420,13,261.96,2
2,2020-02-16,144,Claire Gute,Henderson,Kentucky,42420,56,731.94,3
3,2019-09-20,240,Darrin Van Huff,Los Angeles,California,90036,947,14.62,2
4,2019-01-19,706,Sean O'Donnell,Fort Lauderdale,Florida,33311,320,957.5775,5
5,2019-01-19,706,Sean O'Donnell,Fort Lauderdale,Florida,33311,1317,22.368,2
6,2017-09-16,89,Brosina Hoffman,Los Angeles,California,90032,186,48.86,7
7,2017-09-16,89,Brosina Hoffman,Los Angeles,California,90032,563,7.28,4
8,2017-09-16,89,Brosina Hoffman,Los Angeles,California,90032,1762,907.152,6
9,2017-09-16,89,Brosina Hoffman,Los Angeles,California,90032,795,18.504,3
10,2017-09-16,89,Brosina Hoffman,Los Angeles,California,90032,438,114.9,5
11,2017-09-16,89,Brosina Hoffman,Los Angeles,California,90032,329,1706.184,9
12,2017-09-16,89,Brosina Hoffman,Los Angeles,California,90032,1751,911.424,4
13,2020-07-23,3,Andrew Allen,Concord,North Carolina,28027,1168,15.552,3
14,2020-03-14,339,Irene Maddox,Seattle,Washington,98103,782,407.976,3
15,2019-03-02,331,Harold Pawlan,Fort Worth,Texas,76106,422,68.81,5
16,2019-03-02,331,Harold Pawlan,Fort Worth,Texas,76106,664,2.544,3
17,2018-02-18,598,Pete Kriz,Madison,Wisconsin,53711,1409,665.88,6
18,2017-08-20,19,Alejandro Grove,West Jordan,Utah,84084,1295,55.5,2
19,2017-12-04,793,Zuschuss Donatelli,San Francisco,California,94109,568,8.56,2
20,2017-12-04,793,Zuschuss Donatelli,San Francisco,California,94109,1750,213.48,3
21,2017-12-04,793,Zuschuss Donatelli,San Francisco,California,94109,731,22.72,4
22,2020-03-18,418,Ken Black,Fremont,Nebraska,68025,478,19.46,7
23,2020-03-18,418,Ken Black,Fremont,Nebraska,68025,409,60.34,7
24,2020-10-23,685,Sandra Flanagan,Philadelphia,Pennsylvania,19140,96,71.372,2
25,2019-01-03,250,Emily Burns,Orem,Utah,84057,320,1044.63,3
26,2019-04-26,259,Eric Hoffmann,Los Angeles,California,90049,703,11.648,2
27,2019-04-26,259,Eric Hoffmann,Los Angeles,California,90049,1547,90.57,3
28,2018-12-26,739,Tracy Blumstein,Philadelphia,Pennsylvania,19140,49,3083.43,7
29,2018-12-26,739,Tracy Blumstein,Philadelphia,Pennsylvania,19140,656,9.618,2
30,2018-12-26,739,Tracy Blumstein,Philadelphia,Pennsylvania,19140,311,124.2,3
31,2018-12-26,739,Tracy Blumstein,Philadelphia,Pennsylvania,19140,861,3.264,2
32,2018-12-26,739,Tracy Blumstein,Philadelphia,Pennsylvania,19140,611,86.304,6
33,2018-12-26,739,Tracy Blumstein,Philadelphia,Pennsylvania,19140,696,6.858,6
34,2018-12-26,739,Tracy Blumstein,Philadelphia,Pennsylvania,19140,527,15.76,2
35,2021-01-26,483,Matt Abelman,Houston,Texas,77095,1035,29.472,3
36,2020-03-17,301,Gene Hale,Richardson,Texas,75080,1862,1097.544,7
37,2020-03-17,301,Gene Hale,Richardson,Texas,75080,266,190.92,5
38,2019-04-06,705,Steve Nguyen,Houston,Texas,77041,876,113.328,9
39,2019-04-06,705,Steve Nguyen,Houston,Texas,77041,21,532.3992,3
40,2019-04-06,705,Steve Nguyen,Houston,Texas,77041,121,212.058,3
41,2019-04-06,705,Steve Nguyen,Houston,Texas,77041,1697,371.168,4
42,2019-10-25,618,Ruben Ausman,Los Angeles,California,90049,1395,77.88,2
43,2020-12-27,279,Erin Smith,Melbourne,Florida,32935,1388,95.616,2
44,2019-06-19,580,Odella Nelson,Eagan,Minnesota,55122,1463,45.98,2
45,2019-06-19,580,Odella Nelson,Eagan,Minnesota,55122,768,17.46,2
46,2018-01-27,604,Patrick O'Donnell,Westland,Michigan,48185,1353,211.96,4
47,2019-09-28,462,Lena Hernandez,Dover,Delaware,19901,1521,45,3
